product_name,sku,state,type,display_on_ui,description,council,provider_name,provider_id,cost,retail_price,gst_option,gst_amount,fulfillment_method,status,required_data_buyer,required_data_seller
AAA Management - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1099,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from AAA Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,AAA Management,f1ec8895-29e2-46cf-b4a8-6083d9478d2a,,,normal_gst_10,,Manual,active,,
Owners Corportion Plan No. SP022540Q - Owners Corporation Certificate,VICOCOWNERSCORPV1100,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corportion Plan No. SP022540Q for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corportion Plan No. SP022540Q,16e54be9-841d-4c9f-b4bd-2e344de6bda1,,,normal_gst_10,,Manual,active,,
Interface Property Owners Corporation - Urgent within 2 days Owners Corporation Certificate,VICOCURG2DOWNERSCORPV926,VIC,BodyCorp,true,"Order the Urgent within 2 days Owners Corporation Certificate from Interface Property Owners Corporation for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 day timeframe.",ALL,Interface Property Owners Corporation,1e0f8d6b-6c0a-4122-9bd1-ec0fb13244db,,,normal_gst_10,,Manual,active,,
Interface Property Owners Corporation - Additional Urgent Owners Corporation Certificate - within 2 business days,VICOCADDURGOWNERSCORP2DV926,VIC,BodyCorp,true,"Order the Additional Urgent Owners Corporation Certificate - within 2 business days from Interface Property Owners Corporation for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 business day timeframe.",ALL,Interface Property Owners Corporation,1e0f8d6b-6c0a-4122-9bd1-ec0fb13244db,,,normal_gst_10,,Manual,active,,
Ace Body Corporate Management (Warrnambool/Hamilton) - Owners Corporation Certificate,VICOCOWNERSCORPV1101,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Ace Body Corporate Management (Warrnambool/Hamilton) for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Ace Body Corporate Management (Warrnambool/Hamilton),7e92c426-5a3b-45f2-a98b-c8c30c8500e7,,,normal_gst_10,,Manual,active,,
Ace Body Corporate Management (Warrnambool/Hamilton) - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1101,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Ace Body Corporate Management (Warrnambool/Hamilton) for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Ace Body Corporate Management (Warrnambool/Hamilton),7e92c426-5a3b-45f2-a98b-c8c30c8500e7,,,normal_gst_10,,Manual,active,,
Owners Corporation Plan No 24182 - Owners Corporation Certificate,VICOCOWNERSCORPV1102,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation Plan No 24182 for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation Plan No 24182,12abbe1b-f2bb-4267-a53d-dfa5cfdd1ecf,,,normal_gst_10,,Manual,active,,
JD OwnersCorp Management - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV855,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from JD OwnersCorp Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,JD OwnersCorp Management,282f5ad2-7986-443e-99bd-5272590fbfef,,,normal_gst_10,,Manual,active,,
Select OwnersCorp Management (Select One) - Additional Urgent Owners Corporation Certificate - within 3-5 days,VICOCADDURGOWNERSCORP3TO5DV851,VIC,BodyCorp,true,"Order the Additional Urgent Owners Corporation Certificate - within 3-5 days from Select OwnersCorp Management (Select One) for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 day timeframe.",ALL,Select OwnersCorp Management (Select One),21cc86a6-92bd-4293-bd30-6cd003db4561,,,normal_gst_10,,Manual,active,,
Melbourne Campus Management Pty Ltd - Additional Urgent Owners Corporation Certificate - within 3-5 days,VICOCADDURGOWNERSCORP3TO5DV932,VIC,BodyCorp,true,"Order the Additional Urgent Owners Corporation Certificate - within 3-5 days from Melbourne Campus Management Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 3-5 day timeframe.",ALL,Melbourne Campus Management Pty Ltd,547a084a-8430-41a4-84b3-f996a5fbf7f2,,,normal_gst_10,,Manual,active,,
Melbourne Campus Management Pty Ltd - Additional Urgent Owners Corporation Certificate - within 2 business days,VICOCADDURGOWNERSCORP2DV932,VIC,BodyCorp,true,"Order the Additional Urgent Owners Corporation Certificate - within 2 business days from Melbourne Campus Management Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 business day timeframe.",ALL,Melbourne Campus Management Pty Ltd,547a084a-8430-41a4-84b3-f996a5fbf7f2,,,normal_gst_10,,Manual,active,,
Owners Corporation Plan No 001013 - Owners Corporation Certificate,VICOCOWNERSCORPV1103,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation Plan No 001013 for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation Plan No 001013,3fd604e2-3745-4481-a581-b4fc0537c263,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Title Verification,VICGOVTITLEVERIFICATIONV33,VIC,State_government,true,"Order the Title Verification from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Individual/Personal Proprietor Name Search,VICGOVINDPERSPROPRIETORNAMESRCH3V33,VIC,State_government,true,"Order the Individual/Personal Proprietor Name Search from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Property Address Search,VICGOVPROPADDRSRCH3V33,VIC,State_government,true,"Order the Property Address Search from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Lot and Plan Description Search,VICGOVLOTANDPLANDESCRIPTIONSRCH2V33,VIC,State_government,true,"Order the Lot and Plan Description Search from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
Jason Real Estate Commercial Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV1104,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Jason Real Estate Commercial Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Jason Real Estate Commercial Pty Ltd,418497df-174f-47c7-844a-0f5496636d99,,,normal_gst_10,,Manual,active,,
Jason Real Estate Commercial Pty Ltd - Additional Owners Corporation Certificate,VICOCADDOWNERSCORPV1104,VIC,BodyCorp,true,"Order the Additional Owners Corporation Certificate from Jason Real Estate Commercial Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Jason Real Estate Commercial Pty Ltd,418497df-174f-47c7-844a-0f5496636d99,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Title Search Online - Register Search Statement,VICGOVTITLESRCHONLINEREGSRCHSTMT3V33,VIC,State_government,true,"Order the Title Search Online - Register Search Statement from VIC LANDATA for a Victorian property. A current Victorian title search can show registered proprietors, the land description, encumbrances such as mortgages or caveats, and the source of the property diagram.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Title Search Online - Cached,VICGOVTITLESRCHONLINECACHED2V33,VIC,State_government,true,"Order the Title Search Online - Cached from VIC LANDATA for a Victorian property. A current Victorian title search can show registered proprietors, the land description, encumbrances such as mortgages or caveats, and the source of the property diagram.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
Owners Corporation plan no SP032115A - Owners Corporation Certificate,VICOCOWNERSCORPV1105,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Owners Corporation plan no SP032115A for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Owners Corporation plan no SP032115A,9f8b6e0f-5d00-45ec-93d4-87a1192b788b,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Final Search Statement,VICGOVFINALSRCHSTMT2V33,VIC,State_government,true,"Order the Final Search Statement from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
